lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,pontoId
-8.05542,-34.950509999999994,-91.4642857142857,-91.97,-91.6666666666667,-88.09,-86.47,-79.9,-88.9008333333333,-88.51,-96.3725,6.0,3.0,3.0,7204.0
-8.05565,-34.95435,-88.47,-96.2,-93.34,-96.58,-91.935,-92.0642857142857,-78.6366666666667,-69.88,-94.5675,6.0,5.0,2.0,6997.0
-8.04842,-34.95259,-79.76,-87.0628571428571,-74.51,-78.82,-90.9425,-83.76,-88.71,-98.59,-96.7175,2.0,4.0,4.0,9258.0
-8.05127,-34.95061,-88.59142857142858,-93.22714285714291,-89.6271428571429,-87.83,-92.63,-90.4957142857143,-92.7283333333334,-95.286,-95.9225,4.0,3.0,4.0,8489.0
-8.0524,-34.95629,-85.45,-98.2242857142857,-88.8571428571429,-100.001666666667,-98.52,-93.7757142857143,-64.43,-89.44,-83.77,5.0,5.0,2.0,7929.0
-8.052439999999999,-34.948409999999996,-87.76142857142858,-86.97285714285721,-89.5042857142857,-65.67,-79.275,-92.93,-88.9166666666667,-93.336,-97.255,5.0,2.0,5.0,7921.0
-8.05592,-34.95813,-90.22142857142859,-99.2842857142857,-91.2542857142857,-95.9383333333333,-92.8475,-90.74285714285709,-87.4933333333333,-89.988,-71.52,7.0,6.0,0.0,6918.0
-8.05236,-34.945840000000004,-92.67,-91.4828571428571,-93.53714285714291,-53.72,-81.47,-83.6228571428571,-89.22166666666669,-89.72399999999999,-97.6,5.0,1.0,6.0,7939.0
-8.048860000000001,-34.94727,-95.71,-85.19857142857141,-95.30285714285709,-93.01,-96.4925,-95.59857142857142,-97.26,-98.844,-96.3575,3.0,2.0,6.0,9076.0
-8.05155,-34.949940000000005,-91.19714285714291,-93.62285714285721,-93.8142857142857,-75.97,-84.8225,-86.1071428571429,-94.1316666666667,-95.75399999999999,-97.2725,4.0,3.0,4.0,8384.0
-8.05223,-34.94818,-86.22714285714291,-86.23142857142858,-89.29,-62.46,-82.55375,-82.46,-89.44,-91.236,-97.6,5.0,2.0,5.0,7987.0
-8.04735,-34.95398,-77.58,-88.9,-79.60178571428571,-91.65,-87.71,-91.645,-88.0,-102.82799999999999,-97.8275,2.0,5.0,4.0,9461.0
-8.052810000000001,-34.95342,-89.18,-98.93285714285709,-89.75142857142859,-101.23166666666701,-100.9,-97.13857142857141,-101.75,-99.57600000000001,-97.765,4.0,4.0,2.0,7847.0
-8.058639999999999,-34.94923,-91.80142857142859,-93.04428571428569,-91.8728571428571,-95.9116666666667,-94.18,-82.56,-92.23,-84.34,-95.8575,7.0,3.0,4.0,6679.0
-8.0472,-34.95395,-74.45,-89.21,-76.84035714285709,-91.4786666666667,-90.3,-91.645,-69.44,-102.82799999999999,-95.695,2.0,5.0,4.0,9491.0
-8.05441,-34.95941,-81.7657142857143,-99.49142857142859,-83.6242857142857,-95.72,-100.225,-88.23285714285721,-74.04333333333331,-88.24,-56.29,6.0,7.0,1.0,7520.0
-8.05522,-34.95004,-91.22714285714291,-96.73,-92.34630952380951,-90.28,-78.1325,-81.9114285714286,-88.77833333333331,-83.77,-96.3725,6.0,3.0,4.0,7318.0
-8.056410000000001,-34.955090000000006,-95.43857142857142,-97.79142857142858,-94.14142857142859,-95.29,-91.8025,-90.84142857142858,-81.495,-68.544,-94.04,6.0,5.0,1.0,6814.0
-8.048860000000001,-34.95298,-76.7414285714286,-86.23357142857141,-68.63,-86.95,-89.58,-87.55142857142859,-92.765,-99.226,-96.7675,3.0,4.0,4.0,9073.0
-8.05809,-34.95105,-96.1657142857143,-91.94,-93.2542857142857,-95.825,-81.875,-85.27428571428571,-83.69,-84.80799999999999,-96.2325,7.0,4.0,3.0,6718.0
-8.04928,-34.95303,-69.94,-91.26,-79.36714285714291,-85.76,-90.27,-86.99857142857141,-91.8966666666667,-98.26799999999999,-96.7675,3.0,4.0,4.0,8981.0
-8.05547,-34.9554,-95.14142857142859,-97.3871428571429,-93.49142857142859,-98.6583333333333,-88.2125,-91.52,-75.1566666666667,-55.87,-88.65,6.0,5.0,1.0,7160.0
-8.05556,-34.95074,-91.61857142857141,-92.14857142857142,-91.6666666666667,-90.47,-82.53,-89.22,-90.065,-85.83200000000001,-96.3725,6.0,3.0,3.0,7087.0
-8.04648,-34.953720000000004,-71.83,-87.99857142857141,-79.08,-91.8083333333333,-91.47,-90.76142857142858,-84.2116666666667,-104.266,-97.22,2.0,5.0,5.0,9586.0
-8.0553,-34.95114,-89.2542857142857,-91.88714285714279,-89.26,-83.01,-85.58,-76.83,-90.0483333333333,-85.766,-96.3725,6.0,3.0,3.0,7280.0
-8.05556,-34.95469,-92.6928571428572,-96.03,-89.46,-94.65333333333331,-92.7275,-90.67857142857142,-74.105,-69.134,-93.78,6.0,5.0,2.0,7083.0
-8.05285,-34.95556,-88.77,-96.37285714285721,-96.66,-99.8283333333333,-96.1425,-94.3771428571429,-60.47,-89.016,-94.66,5.0,5.0,2.0,7831.0
-8.051260000000001,-34.94615,-90.7028571428571,-92.12857142857142,-94.20571428571431,-56.83,-83.9,-86.2,-90.225,-92.074,-97.6,5.0,1.0,6.0,8494.0
-8.054,-34.953540000000004,-80.01,-96.6671428571429,-90.83,-92.83,-99.61,-89.6957142857143,-91.38,-89.96799999999999,-95.455,5.0,4.0,2.0,7614.0
-8.05285,-34.95349,-79.16,-98.11,-89.75142857142859,-101.23166666666701,-100.9,-97.13857142857141,-98.725,-99.57600000000001,-97.765,5.0,4.0,2.0,7835.0
-8.05359,-34.95577,-86.86142857142859,-95.7771428571429,-92.9,-101.301666666667,-103.27,-96.88285714285709,-69.75,-82.73,-87.97,5.0,5.0,1.0,7697.0
-8.048680000000001,-34.95053,-88.52,-84.35,-77.57,-78.51,-87.8775,-83.28714285714291,-92.815,-97.49600000000001,-96.7925,3.0,3.0,5.0,9116.0
-8.05568,-34.95393,-95.08,-96.1742857142857,-91.80857142857141,-98.9783333333333,-96.4125,-94.8442857142857,-79.065,-70.57,-93.975,6.0,5.0,2.0,6983.0
-8.055,-34.95926,-80.91571428571429,-100.28857142857099,-78.9014285714286,-95.72,-100.225,-77.53,-81.2233333333333,-89.368,-67.54,6.0,7.0,1.0,7393.0
-8.05391,-34.95406,-84.47,-96.23857142857142,-92.60285714285709,-93.35,-93.685,-90.36714285714291,-94.8516666666667,-92.89,-96.55,5.0,4.0,2.0,7634.0
-8.0553,-34.95792,-87.59571428571431,-99.5742857142857,-86.4142857142857,-97.4416666666667,-100.225,-90.74285714285709,-85.37,-89.08,-68.27,6.0,6.0,0.0,7277.0
-8.05296,-34.959759999999996,-89.4242857142857,-105.0,-88.6057142857143,-100.931666666667,-98.2575,-90.91142857142859,-82.07,-93.052,-68.02,6.0,7.0,1.0,7807.0
-8.05071,-34.950559999999996,-93.95,-88.52,-93.36142857142859,-89.1066666666667,-88.59,-85.52,-92.64,-94.976,-96.5925,4.0,3.0,4.0,8624.0
-8.05223,-34.94805,-88.28,-87.2142857142857,-87.8857142857143,-74.27,-79.145,-83.4857142857143,-89.01,-90.792,-97.6,5.0,2.0,5.0,7994.0
-8.05001,-34.94762,-96.68142857142858,-94.225,-96.75857142857141,-84.225,-97.09,-97.01857142857142,-91.4083333333333,-95.51799999999999,-98.9125,4.0,2.0,5.0,8811.0
-8.053239999999999,-34.94887,-87.68,-89.08714285714291,-90.1228571428571,-71.54,-79.1225,-80.92,-88.5633333333333,-91.602,-97.255,5.0,2.0,4.0,7771.0
-8.05335,-34.95346,-90.1457142857143,-97.2328571428571,-78.32,-99.5216666666667,-98.41,-97.31,-95.13,-96.198,-96.8325,5.0,4.0,2.0,7755.0
-8.05519,-34.95349,-85.46285714285709,-96.14,-90.88285714285709,-99.79,-89.335,-92.82857142857141,-84.8166666666667,-81.508,-97.48,6.0,4.0,2.0,7329.0
