rssi_1_1,rssi_2_1,rssi_3_1,pontoId
-82.53,-91.28,-67.8783333333333,8168.0
-87.82714285714279,-62.22,-87.57,8061.0
-93.29,-100.575,-84.4966666666667,6884.0
-97.9,-57.565,-91.2766666666667,8248.0
-97.19714285714291,-91.26,-91.36,8888.0
-81.6875,-94.35180555555559,-97.01,9645.0
-97.05,-81.09,-91.8033333333333,8345.0
-85.2885714285714,-98.2483333333333,-78.955,7714.0
-85.0685714285714,-94.4983333333333,-78.955,7688.0
-93.65,-99.26,-91.8083333333333,8425.0
-89.47,-91.84666666666661,-90.0483333333333,7287.0
-69.94,-85.76,-91.8966666666667,8981.0
-90.8057142857143,-82.9833333333333,-94.4833333333333,8106.0
-93.54285714285709,-68.83,-97.84,8420.0
-89.58,-99.26,-92.6466666666667,8497.0
-79.89571428571429,-88.52,-91.8966666666667,8921.0
-93.15,-99.8283333333333,-60.47,7828.0
-96.09,-94.65333333333331,-82.1766666666667,7191.0
-88.4761904761905,-100.793333333333,-98.4983333333333,7843.0
-87.64142857142859,-98.24,-93.39,7208.0
-85.0685714285714,-94.4983333333333,-78.955,7662.0
-86.46142857142858,-71.09,-90.1666666666667,8270.0
-92.7,-75.69,-93.5016666666667,8395.0
-91.27,-71.415,-90.9166666666667,9238.0
-90.17285714285721,-98.7883333333333,-92.6166666666667,6753.0
-92.3542857142857,-95.505,-92.23,6673.0
-81.91,-100.793333333333,-98.4983333333333,7841.0
-88.00857142857141,-68.13,-88.4683333333333,8246.0
-89.53,-98.9783333333333,-75.88,6990.0
-87.89,-95.15,-92.3416666666667,8791.0
-89.8728571428571,-45.08,-92.95,8225.0
-90.36142857142859,-89.28,-95.21,7443.0
-94.52,-97.9533333333333,-83.0883333333333,6887.0
-75.08,-96.4233333333333,-84.17,9328.0
-89.9242857142857,-95.27,-81.04333333333331,7379.0
-91.21857142857141,-90.28,-91.6233333333333,6816.0
-81.2,-99.14,-89.895,9033.0
-75.45,-90.90333333333331,-82.83166666666669,9269.0
-93.15,-94.65333333333331,-74.105,7013.0
-92.71285714285709,-89.4,-90.0,9655.0
-89.71142857142858,-93.77,-90.9433333333333,7468.0
-92.67,-53.72,-89.22166666666669,7939.0
-89.02,-95.84,-88.3008333333333,8718.0
-87.47,-92.97,-92.9583333333333,8889.0
-89.77857142857141,-98.15333333333331,-82.68,7392.0
-92.28,-78.08,-93.4533333333333,6946.0
-89.4871428571429,-65.83,-92.7516666666667,8292.0
-90.78,-97.73,-77.625,7101.0
-82.7014285714286,-88.27,-86.005,9406.0
-83.24857142857141,-90.14,-70.6783333333333,8311.0
-94.59714285714291,-98.165,-73.0316666666667,7113.0
-84.2157142857143,-71.96,-88.6833333333333,7721.0
-95.73,-100.57,-98.4983333333333,7840.0
-86.22714285714291,-72.825,-90.34,8010.0
-87.4,-82.76,-93.45,9074.0
-94.59714285714291,-98.165,-73.0316666666667,7158.0
-95.2857142857143,-79.13,-92.25,8607.0
-91.54125,-95.2383333333333,-74.895,7006.0
-96.53857142857142,-83.82,-93.315,8720.0
-91.07,-63.54,-90.6333333333333,7900.0
-89.405,-87.9,-88.4648333333333,9558.0
-89.9442857142857,-73.97,-91.3033333333333,8077.0
-87.7,-70.73,-82.4,7689.0
-92.87619047619049,-101.6425,-79.15333333333331,7482.0
-91.45571428571431,-56.79,-90.685,7808.0
-92.3542857142857,-95.55,-92.23,6665.0
-93.12,-88.8,-88.3516666666667,6725.0
-97.2157142857143,-63.14,-88.93,8946.0
-89.4871428571429,-72.5,-92.7516666666667,8288.0
-97.88285714285709,-54.89,-92.29,9035.0
-82.2628571428571,-92.27,-87.5833333333333,8666.0
-88.5,-87.76,-95.3216666666667,8119.0
-85.7488775510204,-78.26,-91.375,9166.0
-85.69714285714291,-62.54,-89.885,8017.0
-92.9657142857143,-46.72,-90.685,7878.0
-92.355,-80.46,-89.94,7659.0
-86.7,-98.7733333333333,-85.4,8846.0
-95.2828571428571,-80.69,-93.635,9048.0
-91.64,-86.76,-106.07,9377.0
-97.00857142857141,-89.51,-99.6416666666667,9478.0
-90.71,-96.72,-89.715,7399.0
-90.36142857142859,-90.84,-97.21,7453.0
-96.68142857142858,-75.5,-91.4083333333333,8774.0
-77.36714285714291,-90.65,-91.75,9677.0
-81.5942857142857,-78.32,-92.46,9212.0
-94.0242857142857,-77.19,-98.1016666666667,8482.0
-92.87619047619049,-103.37583333333299,-78.3476666666667,7515.0
-91.59,-54.09,-90.5566666666667,8222.0
-99.34714285714291,-79.75,-96.5633333333333,9198.0
-89.29428571428569,-96.6583333333333,-94.125,7549.0
-89.17714285714291,-98.33,-63.105,7901.0
-93.68857142857142,-86.95,-106.07,9393.0
-96.67214285714279,-67.83,-91.9533333333333,9404.0
-91.4642857142857,-81.2025,-78.88,7221.0
-97.0571428571429,-58.69,-96.5133333333333,8641.0
-85.69714285714291,-62.77,-89.885,7998.0
-86.86142857142859,-101.301666666667,-69.75,7697.0
-87.1161904761905,-100.59333333333299,-98.4983333333333,7809.0
-93.5428571428572,-78.27,-93.39,8452.0
-91.9,-102.89,-88.5333333333333,8707.0
-77.82,-88.0572222222222,-89.205,8330.0
-79.2,-88.21,-91.8966666666667,8978.0
-95.2757142857143,-98.32,-83.9966666666667,6776.0
-99.8,-100.81,-98.91,7314.0
-97.4,-86.76,-106.07,9353.0
-94.1071428571429,-71.96,-95.1083333333333,8379.0
-86.89,-97.4416666666667,-79.8383333333333,7163.0
-85.78,-99.26,-90.1316666666667,8533.0
-93.15,-94.625,-74.105,7057.0
-77.19,-85.45,-88.7016666666667,8151.0
-90.08857142857141,-76.02,-88.4983333333333,7661.0
-82.0157142857143,-95.72,-72.95,7429.0
-86.59142857142858,-65.21,-90.07,7793.0
-93.91928571428569,-94.03,-94.4783333333333,9659.0
-96.58,-86.51,-91.585,8949.0
-92.9942857142857,-97.56,-94.0333333333333,6701.0
-88.15285714285709,-98.5116666666667,-79.6933333333333,8310.0
-94.59,-66.89,-90.5383333333333,8775.0
-87.1857142857143,-90.18,-87.40333333333339,6768.0
-76.89,-92.575,-80.3211111111111,9385.0
-89.14,-98.8433333333333,-83.84888888888891,8603.0
-88.8628571428571,-99.61,-77.625,7140.0
-83.19,-91.7,-94.06,8743.0
-88.52,-78.51,-92.815,9116.0
-88.38857142857141,-64.5,-91.5933333333333,8269.0
-82.95,-90.90333333333331,-84.74,9132.0
-91.1428571428571,-100.575,-86.4333333333333,6825.0
-90.17285714285721,-98.7883333333333,-92.6166666666667,6750.0
-91.44714285714291,-92.8,-90.2566666666667,6622.0
-92.87619047619049,-101.6425,-81.62,7478.0
-71.58,-95.54333333333331,-90.5,7322.0
-94.4742857142857,-97.0833333333333,-80.87,7125.0
-81.69142857142859,-82.32,-89.9866666666667,9170.0
-97.8,-80.34,-94.67,8416.0
-88.70857142857142,-96.9083333333333,-87.395,8679.0
-92.87619047619049,-101.7375,-87.81,7486.0
-91.6371428571429,-62.77,-91.19,8249.0
-85.53,-96.1066666666667,-88.5316666666667,7218.0
-82.28142857142859,-99.9291666666667,-85.47388888888891,8733.0
-85.45,-88.4333333333333,-87.9133333333333,9184.0
-89.18,-102.02,-102.13,7836.0
-88.89,-87.39,-93.855,8830.0
-100.94,-73.83,-94.34666666666661,9062.0
-94.08,-89.89,-106.07,9361.0
-95.08285714285721,-95.6516666666667,-82.285,7117.0
-91.21857142857141,-93.22,-93.95,6888.0
-92.355,-82.33,-91.2483333333333,7658.0
-88.32857142857141,-57.04,-89.99,7937.0
-97.8542857142857,-93.59,-94.34666666666661,9049.0
-75.12,-91.5303333333333,-83.63,9447.0
