lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,pontoId
-8.05438,-34.95408,-89.04428571428569,-96.6671428571429,-91.32,-96.1066666666667,-94.48,-90.18714285714279,-94.125,-85.182,-96.42,5,4,2,7531
-8.05337,-34.948890000000006,-91.97,-89.54857142857142,-88.5557142857143,-82.52,-80.445,-89.91,-88.9166666666667,-91.602,-97.255,5,2,4,7748
-8.0539,-34.95955,-85.25571428571429,-99.6357142857143,-86.55142857142859,-94.52,-100.225,-88.2328571428571,-78.955,-92.08,-66.41,6,7,1,7636
-8.05561,-34.95431,-90.0257142857143,-96.2,-91.2042857142857,-98.16,-91.935,-92.67142857142859,-78.6366666666667,-68.34,-92.78,6,5,2,7035
-8.05562,-34.95405,-94.5257142857143,-96.2,-93.83,-98.2166666666667,-94.67,-94.8442857142857,-79.065,-68.25,-96.2125,6,5,2,7026
-8.05643,-34.95069,-91.21857142857141,-92.1571428571429,-91.9266666666666,-88.84,-84.935,-82.52,-91.6233333333333,-89.13,-95.73,6,3,3,6808
-8.05007,-34.95474,-82.9994285714286,-98.2553571428572,-87.81857142857142,-101.535,-97.59125,-90.6569047619048,-80.61722222222221,-99.9346666666667,-96.98277777777781,3,5,3,8797
-8.049,-34.95697,-79.2042857142857,-98.22,-76.8871428571429,-99.14,-90.0575,-94.46,-89.895,-102.22866666666701,-94.09,4,6,3,9041
-8.05208,-34.94952,-95.9,-90.42,-99.16,-70.75,-90.725,-84.91571428571429,-91.4133333333333,-96.14200000000001,-95.5675,4,2,4,8088
-8.04825,-34.94695,-101.12,-92.7633333333333,-97.83642857142858,-79.25,-100.51,-98.77857142857141,-96.5633333333333,-101.744,-96.56,3,2,6,9296
-8.048630000000001,-34.95293,-70.89,-85.45,-74.95,-85.6408333333333,-88.21,-87.40142857142858,-88.76,-99.226,-96.7675,3,4,4,9134
-8.05069,-34.95971,-89.31142857142858,-95.1142857142857,-94.02,-99.26,-93.9625,-92.15,-89.1316666666667,-102.68799999999999,-84.83,5,7,2,8628
-8.05375,-34.959590000000006,-85.0685714285714,-99.6357142857143,-86.43142857142858,-94.4983333333333,-100.58,-88.2328571428571,-78.955,-90.73200000000001,-65.79,6,7,1,7662
-8.0556,-34.95443,-91.0242857142857,-96.2,-84.51,-96.0116666666667,-91.935,-92.6557142857143,-78.6366666666667,-71.05199999999999,-93.47,6,5,2,7044
-8.04848,-34.95198,-79.44,-91.8142857142857,-68.82,-87.89,-89.9,-88.7342857142857,-82.81,-98.012,-97.755,2,4,4,9220
-8.05512,-34.95366,-85.12,-96.14,-87.53,-91.885,-90.03,-93.5642857142857,-84.8383333333333,-75.89,-97.3875,6,4,2,7366
-8.05662,-34.95527,-95.2757142857143,-99.05142857142859,-93.9542857142857,-98.32,-91.8025,-90.84142857142858,-83.9966666666667,-68.10600000000001,-91.1,6,5,1,6775
-8.053980000000001,-34.95407,-95.04,-96.6671428571429,-91.31285714285721,-97.3,-93.685,-95.67,-95.3933333333333,-85.59200000000001,-96.55,5,4,2,7615
-8.05546,-34.95369,-88.4871428571429,-96.38,-96.73,-96.075,-90.1225,-95.79,-88.07,-81.34,-93.4,6,4,2,7175
-8.05447,-34.95606,-92.87619047619049,-98.7371428571429,-88.01,-101.7375,-101.5175,-95.78,-87.81,-83.47399999999999,-98.8,6,5,1,7486
-8.05511,-34.952940000000005,-92.48,-95.4357142857143,-97.41,-96.125,-96.1125,-95.9,-84.0666666666667,-81.104,-98.4225,6,4,2,7375
-8.05463,-34.95362,-88.52,-95.3957142857143,-87.33,-93.83,-88.8325,-90.5571428571428,-92.13,-80.492,-95.25,5,4,2,7444
-8.05305,-34.95562,-80.33,-96.3728571428571,-95.91,-100.311428571429,-96.1425,-95.64714285714291,-60.47,-85.818,-86.66,5,5,2,7795
-8.05827,-34.95043,-92.9942857142857,-92.58857142857141,-93.15,-97.0533333333333,-76.4875,-82.0171428571429,-92.33,-82.69,-96.2325,7,4,4,6711
-8.048119999999999,-34.94729,-98.1071428571429,-83.88,-97.03714285714291,-83.94,-99.9375,-100.9,-105.435,-101.744,-96.92,3,3,6,9345
-8.05153,-34.95984,-72.95,-95.70142857142858,-88.01,-99.26,-93.65,-92.7617857142857,-91.5,-99.194,-86.7725,5,7,2,8391
-8.0468,-34.945159999999994,-89.81142857142858,-91.4,-92.25357142857142,-93.03,-90.9375,-80.653373015873,-88.4648333333333,-82.94,-96.92,4,3,7,9550
-8.05824,-34.950520000000004,-92.9942857142857,-92.58857142857141,-93.9,-97.0533333333333,-77.2,-85.1314285714286,-92.33,-84.31,-96.2325,7,4,4,6712
-8.05923,-34.94722,-92.0348809523809,-88.97558441558441,-90.99,-93.99,-81.4455,-83.61,-91.7869444444444,-91.6292727272727,-95.8575,8,3,5,6642
-8.0486,-34.95293,-70.57,-89.39,-70.6571428571429,-85.2,-91.64,-87.40142857142858,-88.76,-99.226,-96.7675,2,4,4,9147
-8.05534,-34.95089,-89.91714285714279,-95.34,-90.38142857142859,-89.09,-81.49375,-76.77,-87.6183333333333,-76.57,-96.3725,6,3,3,7263
-8.05654,-34.95608,-92.34714285714291,-99.0457142857143,-92.73,-100.351666666667,-90.19,-93.87857142857142,-85.83,-73.19,-85.14,6,6,1,6792
-8.048580000000001,-34.94703,-97.9657142857143,-81.5,-99.21214285714291,-83.5,-98.645,-96.16732142857141,-95.915,-101.01,-96.56,3,2,6,9159
-8.0466,-34.94512,-89.22,-88.09600714285709,-92.25357142857142,-90.7866666666667,-90.9375,-78.0426587301587,-87.0581666666667,-82.82,-96.92,4,3,7,9577
-8.05296,-34.959759999999996,-89.4242857142857,-105.0,-88.6057142857143,-100.931666666667,-98.2575,-90.91142857142859,-82.07,-93.052,-68.02,6,7,1,7807
-8.0472,-34.95395,-74.45,-89.21,-76.84035714285709,-91.4786666666667,-90.3,-91.645,-69.44,-102.82799999999999,-95.695,2,5,4,9491
-8.0547,-34.95363,-84.64,-95.3957142857143,-84.95,-93.71,-88.8325,-90.31571428571431,-86.31,-85.564,-95.0325,5,4,2,7435
-8.05211,-34.95677,-88.15285714285709,-98.10857142857141,-87.59,-98.54,-98.52,-93.42142857142859,-67.8783333333333,-95.63,-87.29,5,6,2,8074
-8.04951,-34.95346,-83.45,-93.71,-78.07,-90.83,-90.98,-89.5742857142857,-91.8966666666667,-97.054,-96.2825,3,4,3,8930
-8.051730000000001,-34.949059999999996,-83.96,-89.88857142857141,-89.4642857142857,-72.58,-87.8725,-84.85285714285709,-91.2616666666667,-94.8,-97.6,4,2,4,8307
-8.051680000000001,-34.94921,-95.04,-90.4171428571429,-91.2857142857143,-96.48,-91.095,-86.4728571428571,-91.6983333333333,-94.8,-97.6,4,2,4,8333
-8.04643,-34.950520000000004,-100.5,-77.85376190476191,-82.52676190476191,-94.9,-94.1525,-93.46035714285709,-90.5533333333333,-98.898,-94.4075,2,4,5,9649
-8.04953,-34.95366,-78.4585714285714,-93.96,-87.08,-91.27,-93.23,-89.11,-93.7516666666667,-96.3006666666667,-97.445,3,5,3,8922
-8.0554,-34.95615,-87.1766666666666,-98.56857142857142,-90.43035714285709,-96.1066666666667,-93.49,-92.61,-87.905,-75.39,-94.2117857142857,6,6,1,7215
-8.05565,-34.95492,-94.1357142857143,-97.10285714285709,-94.05857142857141,-95.0616666666667,-92.6075,-90.85142857142858,-79.755,-71.054,-94.9725,6,5,1,6996
-8.050460000000001,-34.95397,-92.66,-97.97,-90.2157142857143,-98.09,-95.9525,-94.54,-87.395,-98.04799999999999,-99.05,3,5,3,8710
-8.05074,-34.94603,-91.06857142857142,-90.42,-93.78,-67.02,-82.195,-91.97,-89.3683333333333,-96.77600000000001,-98.9125,4,1,6,8619
-8.05543,-34.95368,-88.41714285714279,-96.38,-85.47,-92.47,-90.1225,-94.6242857142857,-81.77571428571429,-79.23,-93.745,6,4,2,7196
-8.0486,-34.94559,-98.71,-89.32047619047621,-98.1292857142857,-62.64,-84.73,-80.71,-91.31,-90.834,-96.56,4,2,7,9151
-8.047410000000001,-34.953990000000005,-75.12,-88.9871428571429,-93.84,-91.5303333333333,-87.71,-98.04,-83.63,-102.82799999999999,-97.8275,2,5,4,9447
-8.05441,-34.95941,-81.7657142857143,-99.49142857142859,-83.6242857142857,-95.72,-100.225,-88.23285714285721,-74.04333333333331,-88.24,-56.29,6,7,1,7520
-8.05565,-34.95389,-94.91125,-96.1742857142857,-91.80857142857141,-99.79,-94.97,-91.45,-77.5566666666667,-71.778,-92.655,6,5,2,7000
-8.05146,-34.9477,-93.54285714285709,-91.76142857142858,-96.82,-68.83,-87.96,-94.72,-97.84,-99.818,-97.6,4,2,5,8420
-8.05123,-34.952259999999995,-83.28,-94.6,-81.27,-93.6,-85.69,-89.3257142857143,-90.1766666666667,-94.67,-95.1975,4,4,3,8502
-8.04748,-34.94533,-89.63285714285709,-91.08857142857141,-91.72357142857142,-76.58,-90.9375,-86.78,-87.8358333333333,-81.828,-96.92,4,3,7,9441
-8.04851,-34.950759999999995,-80.7310204081633,-83.57,-83.51,-76.07,-87.5825,-87.76904761904758,-92.46,-98.012,-96.7925,2,4,5,9204
-8.05538,-34.9537,-85.46,-96.14,-88.52,-93.46,-90.0925,-96.01142857142858,-83.185,-79.23,-93.745,6,4,2,7230
-8.05448,-34.95602,-92.87619047619049,-98.7371428571429,-88.4528571428571,-101.6425,-101.5175,-95.78,-79.15333333333331,-83.47399999999999,-91.52,6,5,1,7482
-8.04861,-34.94705,-101.24,-86.42476190476191,-99.21214285714291,-88.76,-98.8225,-96.16732142857141,-98.38,-101.01,-96.56,3,2,6,9146
-8.050460000000001,-34.95389,-86.84857142857142,-97.50785714285709,-89.57142857142858,-96.59,-97.4925,-96.41,-87.395,-98.04799999999999,-98.36,3,4,3,8712
-8.056000000000001,-34.95645,-94.59,-99.1157142857143,-90.0642857142857,-99.79,-92.505,-94.3,-84.5,-78.99600000000001,-89.47,6,6,1,6902
-8.050989999999999,-34.95975,-77.22,-95.00714285714291,-81.7585714285714,-99.26,-95.23,-88.95142857142858,-94.9,-102.204,-89.35,5,7,2,8568
-8.05236,-34.94684,-88.32857142857141,-90.71142857142858,-90.00714285714291,-57.04,-82.4825,-83.5942857142857,-89.99,-90.804,-97.6,5,1,5,7937
-8.050510000000001,-34.954879999999996,-83.6578571428571,-99.78964285714291,-80.5028571428571,-99.9166666666667,-98.14875,-91.8178571428572,-83.84888888888891,-98.5686666666667,-93.78,4,5,3,8684
-8.0519,-34.94763,-91.6371428571429,-88.72,-90.7971428571429,-55.84,-75.23,-81.96625,-90.6116666666667,-98.04799999999999,-97.6,5,1,5,8209
