"lat","lon","rssi_1_1","rssi_1_2","rssi_1_3","rssi_2_1","rssi_2_2","rssi_2_3","rssi_3_1","rssi_3_2","rssi_3_3","delay_1","delay_2","delay_3","pontoId"
-8.05438,-34.95408,-89.0442857142857,-96.6671428571429,-91.32,-96.1066666666667,-94.48,-90.1871428571428,-94.125,-85.182,-96.42,5,4,2,7531
-8.05337,-34.94889,-91.97,-89.5485714285714,-88.5557142857143,-82.52,-80.445,-89.91,-88.9166666666667,-91.602,-97.255,5,2,4,7748
-8.0539,-34.95955,-85.2557142857143,-99.6357142857143,-86.5514285714286,-94.52,-100.225,-88.2328571428571,-78.955,-92.08,-66.41,6,7,1,7636
-8.05561,-34.95431,-90.0257142857143,-96.2,-91.2042857142857,-98.16,-91.935,-92.6714285714286,-78.6366666666667,-68.34,-92.78,6,5,2,7035
-8.05562,-34.95405,-94.5257142857143,-96.2,-93.83,-98.2166666666667,-94.67,-94.8442857142857,-79.065,-68.25,-96.2125,6,5,2,7026
-8.05643,-34.95069,-91.2185714285714,-92.1571428571429,-91.9266666666666,-88.84,-84.935,-82.52,-91.6233333333333,-89.13,-95.73,6,3,3,6808
-8.05007,-34.95474,-82.9994285714286,-98.2553571428572,-87.8185714285714,-101.535,-97.59125,-90.6569047619048,-80.6172222222222,-99.9346666666667,-96.9827777777778,3,5,3,8797
-8.05361,-34.94907,-87.7,-89.4,-90.5957142857143,-74.385,-76.8775,-76.9071428571429,-106.26,-83.63,-96.72,5,2,4,7693
-8.049,-34.95697,-79.2042857142857,-98.22,-76.8871428571429,-99.14,-90.0575,-94.46,-89.895,-102.228666666667,-94.09,4,6,3,9041
-8.05208,-34.94952,-95.9,-90.42,-99.16,-70.75,-90.725,-84.9157142857143,-91.4133333333333,-96.142,-95.5675,4,2,4,8088
-8.04825,-34.94695,-101.12,-92.7633333333333,-97.8364285714286,-79.25,-100.51,-98.7785714285714,-96.5633333333333,-101.744,-96.56,3,2,6,9296
-8.04863,-34.95293,-70.89,-85.45,-74.95,-85.6408333333333,-88.21,-87.4014285714286,-88.76,-99.226,-96.7675,3,4,4,9134
-8.05069,-34.95971,-89.3114285714286,-95.1142857142857,-94.02,-99.26,-93.9625,-92.15,-89.1316666666667,-102.688,-84.83,5,7,2,8628
-8.05375,-34.95959,-85.0685714285714,-99.6357142857143,-86.4314285714286,-94.4983333333333,-100.58,-88.2328571428571,-78.955,-90.732,-65.79,6,7,1,7662
-8.0556,-34.95443,-91.0242857142857,-96.2,-84.51,-96.0116666666667,-91.935,-92.6557142857143,-78.6366666666667,-71.052,-93.47,6,5,2,7044
-8.04848,-34.95198,-79.44,-91.8142857142857,-68.82,-87.89,-89.9,-88.7342857142857,-82.81,-98.012,-97.755,2,4,4,9220
-8.05512,-34.95366,-85.12,-96.14,-87.53,-91.885,-90.03,-93.5642857142857,-84.8383333333333,-75.89,-97.3875,6,4,2,7366
-8.05662,-34.95527,-95.2757142857143,-99.0514285714286,-93.9542857142857,-98.32,-91.8025,-90.8414285714286,-83.9966666666667,-68.106,-91.1,6,5,1,6775
-8.05398,-34.95407,-95.04,-96.6671428571429,-91.3128571428572,-97.3,-93.685,-95.67,-95.3933333333333,-85.592,-96.55,5,4,2,7615
-8.05111,-34.95977,-87.53,-95.4428571428572,-83.53,-99.26,-97.93,-90.2742857142857,-91.7016666666667,-99.194,-81.6,5,7,2,8539
-8.05546,-34.95369,-88.4871428571429,-96.38,-96.73,-96.075,-90.1225,-95.79,-88.07,-81.34,-93.4,6,4,2,7175
