lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-8.05955,-34.95985,-87.31153571428567,-99.74996428571419,-86.79346428571425,-95.73245833333334,-97.52952083333338,-86.80729761904766,-85.26758333333325,-84.36391666666664,-66.03524999999999
-8.05955,-34.959648082191784,-86.9771071428571,-99.80534523809511,-86.7262857142857,-95.58625,-97.5787083333334,-86.6553928571429,-85.31816666666658,-84.20534999999998,-65.98899999999999
-8.05955,-34.95944616438357,-86.73963095238092,-99.82978571428562,-86.65634523809521,-95.62679166666666,-97.59906250000007,-86.59325000000004,-85.03165277777768,-84.12038333333332,-66.26408333333332
-8.05955,-34.959244246575345,-87.13785714285709,-99.8116666666665,-86.24802380952381,-95.57108333333333,-97.59906250000007,-85.70833333333334,-86.31897222222213,-83.54534999999996,-65.90391666666667
-8.05955,-34.959042328767126,-87.99321428571423,-99.69615476190462,-88.01716666666665,-95.46159722222224,-97.2421041666667,-86.19966666666666,-87.28563888888878,-83.18644999999997,-66.70933333333332
-8.05955,-34.958840410958906,-88.88715476190471,-99.52111904761897,-87.13669047619048,-95.50843055555559,-96.79420833333329,-85.30929761904758,-87.22949999999986,-83.19653333333329,-67.1208333333333
-8.05955,-34.958638493150694,-88.4094285714285,-99.49211904761901,-89.75327380952369,-96.07093055555569,-94.21343749999988,-88.77354761904756,-87.13118055555545,-81.83356666666667,-64.63624999999996
-8.05955,-34.95843657534247,-89.57130952380949,-99.44861904761903,-90.71548809523799,-96.16123611111124,-93.32804166666656,-90.2058095238095,-86.66336111111103,-81.27135000000003,-65.49708333333334
-8.05955,-34.95823465753425,-89.58945238095238,-99.42445238095233,-91.07779761904749,-96.1710000000001,-92.8474999999999,-90.46110714285713,-86.95141666666659,-79.42411666666672,-65.85724999999998
-8.05955,-34.958032739726036,-90.99161904761904,-99.3060357142858,-91.08963095238087,-96.35802777777788,-92.87279166666657,-91.44828571428579,-87.84990277777776,-85.08765,-67.31850000000011
-8.05955,-34.95783082191781,-90.78403124999994,-99.32536904761915,-91.51755952380935,-97.99214583333337,-93.89264583333326,-94.10928571428573,-86.36991666666673,-80.83220000000004,-68.05083333333343
-8.05955,-34.95762890410959,-91.00958333333328,-99.31319047619057,-91.94801190476171,-99.12597222222225,-94.10493749999992,-94.95990476190482,-85.7778055555556,-80.35529999999997,-70.46933333333345
-8.05955,-34.95742698630137,-91.17223809523813,-98.6107023809524,-92.23196428571414,-99.94685416666674,-91.63339583333321,-95.17877380952382,-88.2440555555555,-76.23293333333332,-80.75845833333346
-8.05955,-34.957225068493145,-91.16276190476192,-98.25789285714282,-92.27892857142847,-100.30534722222237,-90.93027083333321,-93.86679761904763,-87.71591666666663,-75.84904999999998,-86.8398125000001
-8.05955,-34.957023150684925,-91.38015476190473,-98.2794285714285,-93.01886904761903,-100.13261111111123,-90.67262499999991,-93.88666666666659,-88.75083333333332,-74.32351666666668,-91.36781250000011
-8.05955,-34.95682123287671,-91.45660714285711,-98.05854761904752,-91.88942857142855,-100.07381944444455,-90.48252083333324,-93.8194999999999,-88.89183333333331,-75.68948333333334,-91.06833333333346
-8.05955,-34.95661931506849,-91.49094047619037,-98.00604761904755,-91.16544047619055,-100.06609722222235,-90.44393749999992,-93.9533333333333,-88.6983888888888,-74.7765666666667,-89.76033333333346
-8.05955,-34.956417397260275,-91.58246428571421,-98.00254761904755,-90.9968928571429,-100.06561111111122,-90.3286874999999,-95.05172619047622,-88.33697222222213,-73.37324999999996,-90.83508333333344
-8.05955,-34.956215479452055,-91.62230555555551,-97.87820238095225,-91.86764583333319,-99.63008333333352,-89.41856249999995,-92.8497857142857,-88.29258333333327,-71.43588999999994,-88.77700892857148
-8.05955,-34.956013561643836,-91.49448809523811,-97.84522619047607,-92.09047619047607,-99.2567361111113,-89.74797916666667,-92.49582142857142,-88.29272222222217,-72.69663999999995,-88.56889583333333
-8.05955,-34.955811643835624,-92.87350000000005,-97.10727380952375,-92.0720714285714,-98.83486111111111,-89.27372916666657,-92.03660714285719,-89.89019444444443,-71.74141666666665,-90.77695833333333
-8.05955,-34.9556097260274,-93.02767857142864,-97.04605952380949,-92.27542857142855,-98.73074999999994,-89.28677083333325,-91.82353571428577,-89.68309722222226,-71.66286666666664,-90.80595833333336
-8.05955,-34.95540780821918,-93.11886904761909,-97.03370238095235,-92.23510714285713,-98.69413888888883,-89.42079166666657,-91.71204761904768,-89.5406805555556,-71.72556666666664,-91.00056250000004
-8.05955,-34.95520589041096,-92.95771428571432,-97.04655952380959,-91.82609523809523,-98.51779166666657,-89.57564583333321,-91.74197619047625,-90.67431944444448,-71.36368333333333,-92.35556250000005
-8.05955,-34.95500397260274,-92.54784523809533,-96.39269047619047,-90.91634523809525,-98.45014285714278,-89.1763541666666,-91.39105952380959,-91.1830972222222,-74.37108333333336,-94.21199999999999
-8.05955,-34.95480205479452,-92.11235714285725,-96.25379761904763,-90.8586190476191,-98.5574027777777,-89.88410416666662,-91.65410714285717,-91.98637500000001,-73.64428333333335,-94.2796458333333
-8.05955,-34.9546001369863,-91.6547857142858,-95.78695238095237,-90.41284523809523,-98.73763888888882,-88.50554166666662,-91.63027380952384,-93.95380555555562,-75.11301666666672,-94.77675000000002
-8.05955,-34.954398219178074,-91.46939285714294,-95.61511904761902,-90.06755952380949,-98.7920833333333,-87.88272916666659,-91.68330952380954,-94.64330555555561,-75.63820000000007,-95.0157291666667
-8.05955,-34.954196301369855,-91.6272857142858,-95.50126190476189,-89.92034523809524,-98.83923611111112,-87.89895833333325,-91.54377380952381,-94.9171666666667,-74.84313333333345,-95.23970833333334
-8.05955,-34.95399438356164,-91.16811904761919,-95.30319047619052,-89.58422619047613,-98.811875,-87.7947916666666,-92.04483333333343,-94.14900000000004,-75.02583333333345,-95.11395833333333
-8.05955,-34.95379246575342,-91.19686904761913,-95.28015476190483,-89.65769047619045,-98.82475000000001,-87.89579166666657,-90.60604761904769,-94.08162500000005,-75.09475000000013,-94.48020833333334
-8.05955,-34.953590547945204,-91.70602380952378,-94.89667857142867,-91.7827976190477,-98.90875000000001,-86.23779166666651,-90.22611904761912,-95.002375,-76.5067500000001,-94.72310416666656
-8.05955,-34.953388630136985,-91.65523809523812,-94.75198809523818,-91.49114285714293,-99.00429166666667,-85.65793749999985,-89.97686904761912,-95.65306944444441,-76.77766666666678,-94.77789583333323
-8.05955,-34.953186712328765,-93.30939285714273,-92.4382261904761,-91.41392857142864,-96.59270436507923,-83.22815277777781,-84.38552380952382,-90.81049999999995,-79.66509027777778,-94.86166666666661
-8.05955,-34.952984794520546,-93.76908333333319,-92.11984523809515,-91.50848809523815,-96.4534960317459,-82.7459652777778,-84.18136904761904,-90.71708333333326,-79.57609027777777,-94.82281249999993
-8.05955,-34.95278287671233,-93.9642976190475,-91.79747619047606,-91.52902380952386,-96.18531547619033,-82.06761111111116,-82.51561904761905,-90.77305787037031,-80.04120088383839,-95.32012499999992
