lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-8.05955,-34.95985,-85.96201242236022,-99.91694409937877,-84.9150931677019,-95.39655072463769,-98.40478260869574,-85.24560248447199,-85.32315942028978,-86.19161739130433,-64.24704347826088
-8.05955,-34.959648082191784,-85.96201242236022,-99.91694409937877,-84.9150931677019,-95.39655072463769,-98.40478260869574,-85.24560248447199,-85.32315942028978,-86.19161739130433,-64.24704347826088
-8.05955,-34.95944616438357,-85.9142111801242,-99.92711801242223,-84.86534161490685,-95.40717391304348,-98.401695652174,-85.22540372670801,-85.20586956521733,-86.17359999999996,-64.21713043478262
-8.05955,-34.959244246575345,-86.35286956521735,-99.89185093167683,-84.83754037267084,-95.36007246376813,-98.32617391304358,-84.45901863354031,-85.96894202898542,-85.47410434782604,-64.39573913043479
-8.05955,-34.959042328767126,-87.64222360248444,-99.73036024844706,-87.18828571428573,-95.22120289855076,-97.96871739130442,-85.21930434782604,-87.20624637681146,-85.26076521739127,-65.65991304347821
-8.05955,-34.958840410958906,-88.79094409937883,-99.55761490683221,-86.81465838509314,-95.29960869565224,-97.55332608695653,-85.30237267080739,-87.16592753623175,-85.2286956521739,-65.50173913043473
-8.05955,-34.958638493150694,-87.56608695652167,-99.52114285714278,-88.79247204968932,-95.86079710144945,-95.06091304347812,-87.49896894409926,-87.12739130434771,-84.55003478260872,-63.02713043478256
-8.05955,-34.95843657534247,-89.86650931677012,-99.43306832298133,-90.39204968944092,-96.04417391304364,-93.61284782608682,-90.0712173913043,-86.69244927536226,-83.89932173913047,-64.97695652173914
-8.05955,-34.95823465753425,-89.86668322981366,-99.40280745341613,-91.03627329192534,-96.05972463768127,-92.8474999999999,-90.44555279503103,-87.17640579710138,-80.02328695652182,-66.02678260869563
-8.05955,-34.958032739726036,-90.93214906832293,-99.30193788819884,-91.00473291925458,-96.10314492753635,-92.91165217391296,-91.13383850931682,-87.79797101449273,-84.98410434782612,-67.06739130434791
-8.05955,-34.95783082191781,-90.60898291925459,-99.34732919254667,-90.60355279503094,-96.82036956521749,-94.41354347826082,-92.36065838509312,-84.60475362318849,-82.75806956521745,-66.29704347826089
-8.05955,-34.95762890410959,-90.84289440993784,-99.31609937888206,-91.4155776397514,-98.9610869565218,-94.67878260869557,-93.73939130434785,-83.50840579710149,-81.90610434782603,-71.0589565217392
