lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-8.05955,-34.95985,-90.57988086791661,-90.57988086791661,-90.57988086791661,-89.3884410976869,-89.3884410976869,-89.3884410976869,-70.80360429026943,-70.80360429026943,-70.80360429026943
-8.05955,-34.959549183673474,-90.47412219092053,-90.47412219092053,-90.47412219092053,-89.14331114082682,-89.14331114082682,-89.14331114082682,-70.43030125566399,-70.43030125566399,-70.43030125566399
-8.05955,-34.959248367346945,-90.37103794504827,-90.37103794504827,-90.37103794504827,-88.89486679287774,-88.89486679287774,-88.89486679287774,-70.10420577647116,-70.10420577647116,-70.10420577647116
-8.05955,-34.958947551020415,-90.27076409669931,-90.27076409669931,-90.27076409669931,-88.6430535953607,-88.6430535953607,-88.6430535953607,-69.83271438306363,-69.83271438306363,-69.83271438306363
-8.05955,-34.95864673469388,-90.17343743245075,-90.17343743245075,-90.17343743245075,-88.38781871400789,-88.38781871400789,-88.38781871400789,-69.62260469955194,-69.62260469955194,-69.62260469955194
-8.05955,-34.95834591836735,-90.0791951167638,-90.0791951167638,-90.0791951167638,-88.1291114214225,-88.1291114214225,-88.1291114214225,-69.47953941307178,-69.47953941307178,-69.47953941307178
-8.05955,-34.95804510204082,-89.9881742166503,-89.9881742166503,-89.9881742166503,-87.86688365392831,-87.86688365392831,-87.86688365392831,-69.40759545846439,-69.40759545846439,-69.40759545846439
-8.05955,-34.95774428571429,-89.90051119488322,-89.90051119488322,-89.90051119488322,-87.60109065321569,-87.60109065321569,-87.60109065321569,-69.40889351227139,-69.40889351227139,-69.40889351227139
-8.05955,-34.957443469387755,-89.8163413739839,-89.8163413739839,-89.8163413739839,-87.33169170439467,-87.33169170439467,-87.33169170439467,-69.48339488566367,-69.48339488566367,-69.48339488566367
-8.05955,-34.957142653061226,-89.73579837370715,-89.73579837370715,-89.73579837370715,-87.05865098378871,-87.05865098378871,-87.05865098378871,-69.62890529328892,-69.62890529328892,-69.62890529328892
-8.05955,-34.956841836734704,-89.6590135253762,-89.6590135253762,-89.6590135253762,-86.78193853131509,-86.78193853131509,-86.78193853131509,-69.84128474899597,-69.84128474899597,-69.84128474899597
-8.05955,-34.956541020408174,-89.58611526705201,-89.58611526705201,-89.58611526705201,-86.5015313643195,-86.5015313643195,-86.5015313643195,-70.11482285910145,-70.11482285910145,-70.11482285910145
-8.05955,-34.95624020408164,-89.51722852406846,-89.51722852406846,-89.51722852406846,-86.21741475166763,-86.21741475166763,-86.21741475166763,-70.44271179117224,-70.44271179117224,-70.44271179117224
-8.05955,-34.9559393877551,-89.45247407999062,-89.45247407999062,-89.45247407999062,-85.92958366891699,-85.92958366891699,-85.92958366891699,-70.81754190774562,-70.81754190774562,-70.81754190774562
-8.05955,-34.95563857142857,-89.39196794360205,-89.39196794360205,-89.39196794360205,-85.63804445797655,-85.63804445797655,-85.63804445797655,-71.23175600993,-71.23175600993,-71.23175600993
-8.05955,-34.955337755102036,-89.33582071799935,-89.33582071799935,-89.33582071799935,-85.34281671664237,-85.34281671664237,-85.34281671664237,-71.67802000140209,-71.67802000140209,-71.67802000140209
-8.05955,-34.955036938775514,-89.28413697813963,-89.28413697813963,-89.28413697813963,-85.04393544629656,-85.04393544629656,-85.04393544629656,-72.14949182815732,-72.14949182815732,-72.14949182815732
-8.05955,-34.954736122448985,-89.23701466354322,-89.23701466354322,-89.23701466354322,-84.74145348786973,-84.74145348786973,-84.74145348786973,-72.63999029001562,-72.63999029001562,-72.63999029001562
-8.05955,-34.95443530612245,-89.19454449302984,-89.19454449302984,-89.19454449302984,-84.43544427874866,-84.43544427874866,-84.43544427874866,-73.14407789924508,-73.14407789924508,-73.14407789924508
-8.05955,-34.954134489795926,-89.15680940833644,-89.15680940833644,-89.15680940833644,-84.12600496476955,-84.12600496476955,-84.12600496476955,-73.65707755577759,-73.65707755577759,-73.65707755577759
-8.05955,-34.95383367346939,-89.12388405343825,-89.12388405343825,-89.12388405343825,-83.81325990254723,-83.81325990254723,-83.81325990254723,-74.17504321912679,-74.17504321912679,-74.17504321912679
-8.05955,-34.95353285714286,-89.09583429618877,-89.09583429618877,-89.09583429618877,-83.4973645879196,-83.4973645879196,-83.4973645879196,-74.69470214559803,-74.69470214559803,-74.69470214559803
-8.05955,-34.953232040816324,-89.07271679851601,-89.07271679851601,-89.07271679851601,-83.17851004413922,-83.17851004413922,-83.17851004413922,-75.21338241481021,-75.21338241481021,-75.21338241481021
-8.05955,-34.952931224489795,-89.05457864089195,-89.05457864089195,-89.05457864089195,-82.85692770097126,-82.85692770097126,-82.85692770097126,-75.72893555470569,-75.72893555470569,-75.72893555470569
-8.05955,-34.952630408163266,-89.04145700627774,-89.04145700627774,-89.04145700627774,-82.53289478889087,-82.53289478889087,-82.53289478889087,-76.23966070316865,-76.23966070316865,-76.23966070316865
-8.05955,-34.95232959183674,-89.0333789278931,-89.0333789278931,-89.0333789278931,-82.2067402633628,-82.2067402633628,-82.2067402633628,-76.74423412415743,-76.74423412415743,-76.74423412415743
-8.05955,-34.95202877551021,-89.03036110439203,-89.03036110439203,-89.03036110439203,-81.87885125896963,-81.87885125896963,-81.87885125896963,-77.24164601767995,-77.24164601767995,-77.24164601767995
-8.05955,-34.95172795918367,-89.03240978510266,-89.03240978510266,-89.03240978510266,-81.54968005259195,-81.54968005259195,-81.54968005259195,-77.73114530422583,-77.73114530422583,-77.73114530422583
-8.05955,-34.95142714285714,-89.03952072695355,-89.03952072695355,-89.03952072695355,-81.21975148627826,-81.21975148627826,-81.21975148627826,-78.21219228093415,-78.21219228093415,-78.21219228093415
-8.05955,-34.951126326530606,-89.0516792237162,-89.0516792237162,-89.0516792237162,-80.88967076231438,-80.88967076231438,-80.88967076231438,-78.68441860175386,-78.68441860175386,-78.68441860175386
-8.05955,-34.950825510204076,-89.06886020717093,-89.06886020717093,-89.06886020717093,-80.5601314747779,-80.5601314747779,-80.5601314747779,-79.1475938169113,-79.1475938169113,-79.1475938169113
-8.05955,-34.950524693877554,-89.09102841867585,-89.09102841867585,-89.09102841867585,-80.23192367998666,-80.23192367998666,-80.23192367998666,-79.60159763420168,-79.60159763420168,-79.60159763420168
-8.05955,-34.950223877551025,-89.11813864876683,-89.11813864876683,-89.11813864876683,-79.90594173419274,-79.90594173419274,-79.90594173419274,-80.04639707976992,-80.04639707976992,-80.04639707976992
-8.05955,-34.94992306122449,-89.15013604132224,-89.15013604132224,-89.15013604132224,-79.5831915386209,-79.5831915386209,-79.5831915386209,-80.48202779543408,-80.48202779543408,-80.48202779543408
-8.05955,-34.94962224489796,-89.1869564580602,-89.1869564580602,-89.1869564580602,-79.26479673192148,-79.26479673192148,-79.26479673192148,-80.9085787944376,-80.9085787944376,-80.9085787944376
