1,2,3,4,5,6,7,8
58.76,807.1,58.76,15.23,744.84,19.85,19.85,677.84
1.56,1359.25,1.56,66.09,178.02,80.72,80.72,1334.39
19.77,776.64,19.77,11.12,489.86,13.73,13.73,1091.04
70.23,719.1,70.23,24.63,411.62,87.38,158.02,931.52
4.42,944.38,4.42,18.11,137.6,18.45,4.16,90.78
17.3,743.12,17.3,10.72,695.82,9.65,9.65,378.77
4.56,1233.49,4.56,26.14,432.93,49.27,27.05,430.99
17.83,703.56,17.83,2.79,390.82,14.46,162.7,1254.62
64.21,356.16,64.21,27.01,509.2,41.34,254.61,1028.99
25.26,482.37,25.26,33.61,380.8,120.38,120.38,785.96
21.04,1357.89,21.04,3.78,785.83,57.27,57.27,538.28
6.64,1145.86,6.64,23.74,436.3,14.16,14.16,1069.05
22.37,527.53,22.37,47.06,265.99,21.44,21.44,696.86
53.7,981.71,53.7,17.92,332.17,48.21,48.21,334.03
25.74,587.89,25.74,34.99,307.42,64.83,64.83,773.99
184.18,952.36,184.18,28.19,391.2,181.28,181.28,574.57
201.48,913.31,201.48,9.59,354.24,7.2,21.45,72.29
40.8,960.51,40.8,53.14,524.56,29.02,29.02,495.93
74.11,1020.45,74.11,146.11,657.86,62.83,62.83,489.15
16.1,1343.74,16.1,35.21,240.51,19.88,19.88,1642.85
205.33,618.95,205.33,45.11,1046.05,389.54,492.58,576.59
2.2,946.17,2.2,11.49,452.46,51.87,21.69,119.94
185.05,194.74,185.05,13.03,370.31,25.42,25.42,1165.36
1.56,1230.32,1.56,21.17,435.39,26.02,12.0,716.62
6.71,516.67,6.71,36.26,123.84,6.44,6.44,1084.42
10.49,921.04,10.49,36.92,407.62,19.64,19.64,1336.16
6.73,558.82,6.73,85.01,508.36,33.94,33.94,1366.48
15.43,794.09,15.43,9.77,419.15,167.04,146.31,763.37
149.3,564.06,149.3,34.14,546.4,163.24,290.52,118.18
21.35,679.84,21.35,27.41,483.33,26.89,26.89,714.36
67.72,842.1,67.72,23.09,394.07,77.96,77.96,712.2
59.52,1072.67,59.52,37.5,207.65,72.87,51.45,1253.59
58.63,902.64,58.63,4.08,891.28,26.36,26.36,811.73
7.79,510.78,7.79,16.18,689.65,9.52,9.52,1304.55
5.64,740.01,5.64,2.35,449.97,9.62,45.0,24.33
33.6,1280.58,33.6,42.06,505.04,12.48,12.48,458.97
45.4,1151.94,45.4,18.29,1001.21,240.78,240.78,921.3
7.07,854.0,7.07,2.55,392.84,190.11,190.11,233.16
33.65,183.55,33.65,17.76,1000.07,122.16,23.23,1245.95
12.36,1273.07,12.36,30.67,573.61,16.45,16.45,1373.99
23.25,300.88,23.25,41.91,836.7,6.62,6.62,1286.4
7.79,1061.36,7.79,41.08,540.23,241.17,219.28,1445.26
13.95,464.83,13.95,57.69,957.2,10.72,37.78,223.71
14.41,713.64,14.41,26.26,416.0,12.36,12.36,688.56
46.78,1295.37,46.78,21.87,353.45,5.95,22.31,630.69
108.74,1019.4,108.74,7.38,352.19,44.56,44.56,599.74
133.93,934.65,133.93,61.81,584.88,191.31,191.31,213.91
2.21,923.9,2.21,12.5,458.67,64.46,23.32,525.0
3.32,704.92,3.32,38.84,261.62,143.27,143.27,519.77
19.54,521.26,19.54,19.99,170.46,10.02,10.02,74.77
6.99,1301.14,6.99,56.85,497.69,22.22,22.22,804.36
141.45,1301.13,141.45,41.39,414.83,53.58,53.58,752.8
365.19,716.6,365.19,45.65,826.36,361.35,361.35,359.52
171.66,829.54,171.66,6.9,550.96,125.78,135.8,437.88
84.06,627.64,84.06,7.95,588.16,213.23,196.86,1066.53
260.14,1368.21,260.14,13.57,476.81,98.02,12.72,777.78
52.7,511.33,52.7,27.26,218.83,327.86,369.4,475.06
6.44,688.94,6.44,16.35,415.01,65.98,65.98,895.08
3.5,1515.35,3.5,17.76,225.9,1407.65,21.16,1174.48
5.62,1230.87,5.62,69.66,587.02,53.9,236.84,405.29
5.52,737.13,5.52,70.58,887.74,14.98,14.98,744.35
9.12,756.96,9.12,42.13,1054.71,40.17,129.2,928.0
23.31,768.09,23.31,108.93,492.85,14.93,32.61,556.46
6.44,717.19,6.44,39.26,992.35,24.12,24.12,437.22
6.61,754.22,6.61,26.71,510.66,6.4,6.4,544.61
28.0,519.97,28.0,29.83,518.42,43.09,43.09,428.75
222.49,893.06,222.49,38.68,489.13,157.59,135.9,154.91
11.24,697.09,11.24,8.3,522.49,23.9,23.9,250.33
14.37,1535.82,14.37,27.7,405.08,13.12,13.12,623.94
333.42,997.38,333.42,25.83,672.29,247.33,211.91,361.04
46.31,661.2,46.31,3.13,376.57,89.29,89.29,1077.73
40.45,403.13,40.45,34.23,420.78,381.96,54.8,631.31
95.26,534.1,95.26,92.15,834.45,133.55,133.55,754.85
43.15,625.24,43.15,77.95,984.77,94.54,341.94,564.74
24.43,913.48,24.43,18.21,324.95,68.72,129.99,843.88
2.2,607.92,2.2,16.41,493.22,6.63,6.63,584.04
17.82,739.88,17.82,11.35,484.73,27.28,68.39,821.29
71.71,774.79,71.71,34.31,909.45,74.56,74.56,237.19
42.26,392.54,42.26,17.82,507.58,29.21,29.21,782.31
4.56,818.46,4.56,50.69,363.05,61.91,42.5,1372.85
12.36,765.52,12.36,58.14,333.89,13.93,13.27,886.97
262.35,1211.24,262.35,50.08,283.98,122.98,236.17,683.21
29.88,1022.31,29.88,10.55,575.32,20.74,13.4,1128.09
45.54,854.88,45.54,6.17,647.68,32.63,32.63,1180.68
9.92,1448.52,9.92,22.98,435.48,25.75,25.75,612.26
16.63,1362.45,16.63,15.45,151.3,82.15,211.66,1310.29
372.16,858.07,372.16,28.64,390.45,173.06,326.7,179.24
24.35,919.91,24.35,16.95,873.83,73.13,4.77,340.9
24.41,665.29,24.41,2.17,750.99,61.53,61.53,763.56
